"title","revenue","rental_rate","count"
"Oklahoma Jumanji",5.94,0.99,6
"Texas Watch",5.94,0.99,6
"Duffel Apocalypse",5.94,0.99,6
"Freedom Cleopatra",5.95,0.99,5
"Rebel Airport",6.93,0.99,7
"Young Language",6.93,0.99,7
"Cruelty Unforgiven",6.94,0.99,6
"Treatment Jekyll",6.94,0.99,6
"Lights Deer",7.93,0.99,7
"Stallion Sundance",7.94,0.99,6
"Japanese Run",7.94,0.99,6
"Ghostbusters Elf",8.93,0.99,7
"Harold French",8.93,0.99,7
"Connection Microcosmos",8.95,0.99,5
"Ballroom Mockingbird",9.93,0.99,7
"Comancheros Enemy",9.94,0.99,6
"Jawbreaker Brooklyn",10.91,0.99,9
"Towers Hurricane",10.91,0.99,9
"Maude Mod",10.93,0.99,7
"Zhivago Core",10.93,0.99,7
"Clockwork Paradise",11.90,0.99,10
"Montezuma Command",11.91,0.99,9
"Soup Wisdom",11.93,0.99,7
"Sunset Racer",11.93,0.99,7
"Runaway Tenenbaums",11.93,0.99,7
"Vision Torque",11.94,0.99,6
"Valentine Vanishing",12.90,0.99,10
"Victory Academy",12.91,0.99,9
"Notting Speakeasy",12.91,0.99,9
"Legend Jedi",12.92,0.99,8
"Hawk Chill",12.94,0.99,6
"Hollywood Anonymous",13.87,0.99,13
"Kane Exorcist",13.88,0.99,12
"Dumbo Lust",13.94,0.99,6
"Watership Frontier",13.94,0.99,6
"Spirit Flintstones",14.86,0.99,14
"Greedy Roots",14.87,0.99,13
"Sassy Packer",14.88,0.99,12
"Smoochy Control",14.88,0.99,12
"Bedazzled Married",14.88,0.99,12
"Crow Grease",14.89,0.99,11
"Runner Madigan",14.92,0.99,8
"Sling Luke",14.94,0.99,6
"Vanished Garden",14.94,0.99,7
"Glory Tracy",14.95,2.99,5
"Silence Kane",15.85,0.99,15
"Lawrence Love",15.87,0.99,13
"Wild Apollo",15.94,0.99,6
"Mussolini Spoilers",15.95,2.99,5
"Mixed Doors",15.96,2.99,4
"Hardly Robbers",15.96,2.99,4
"Siege Madre",16.86,0.99,14
"Gandhi Kwai",16.87,0.99,13
"Beethoven Exorcist",16.89,0.99,11
"Loverboy Attacks",16.89,0.99,11
"Mosquito Armageddon",16.89,0.99,11
"Beneath Rush",16.90,0.99,10
"Frogmen Breaking",16.90,0.99,10
"Superfly Trip",16.91,0.99,9
"Youth Kick",16.94,0.99,6
"Full Flatliners",16.95,2.99,5
"Conspiracy Spirit",16.95,2.99,5
"Braveheart Human",16.95,2.99,5
"Smoking Barbarella",17.84,0.99,17
"Pride Alamo",17.85,0.99,15
"Hook Chariots",17.87,0.99,13
"Streak Ridgemont",17.87,0.99,13
"Anonymous Human",17.87,0.99,13
"Ending Crowds",17.90,0.99,10
"Gilbert Pelican",17.91,0.99,9
"Holy Tadpole",17.92,0.99,8
"Mystic Truman",17.92,0.99,8
"Magic Mallrats",17.93,0.99,7
"License Weekend",17.94,2.99,6
"Ladybugs Armageddon",17.94,0.99,6
"Polish Brooklyn",18.85,0.99,15
"Craft Outfield",18.86,0.99,14
"Language Cowboy",18.90,0.99,10
"Spirited Casualties",18.90,0.99,10
"Spoilers Hellfighters",18.91,0.99,9
"Impact Aladdin",18.92,0.99,8
"Simon North",18.94,0.99,6
"Rushmore Mermaid",18.94,2.99,6
"Menagerie Rushmore",18.94,2.99,6
"Tomatoes Hellfighters",19.86,0.99,14
"Odds Boogie",19.87,0.99,13
"Hunger Roof",19.88,0.99,12
"Tenenbaums Command",19.88,0.99,12
"Sorority Queen",19.88,0.99,12
"Monterey Labyrinth",19.89,0.99,11
"Gathering Calendar",19.90,0.99,10
"Bride Intrigue",20.82,0.99,18
"Jedi Beneath",20.82,0.99,18
"Music Boondock",20.83,0.99,17
"Duck Racer",20.95,2.99,5
"Patient Sister",21.82,0.99,18
"Bull Shawshank",21.84,0.99,16
"Vietnam Smoochy",21.86,0.99,14
"Citizen Shrek",21.87,0.99,13
"Arabia Dogma",21.88,0.99,12
"Mulholland Beast",21.93,2.99,7
"Luck Opus",21.93,2.99,7
"Warlock Werewolf",21.94,2.99,6
"Phantom Glory",21.94,2.99,6
"Leathernecks Dwarfs",21.94,2.99,6
"Killer Innocent",21.94,2.99,6
"Divorce Shining",21.95,2.99,5
"Dracula Crystal",22.81,0.99,19
"Unforgiven Zoolander",22.84,0.99,16
"Love Suicides",22.85,0.99,15
"Wrath Mile",22.87,0.99,13
"Everyone Craft",22.89,0.99,11
"Savannah Town",22.90,0.99,10
"Shining Roses",22.92,0.99,8
"Bang Kwai",22.93,2.99,7
"Newsies Story",22.93,0.99,7
"Extraordinary Conquerer",22.94,2.99,6
"Lesson Cleopatra",22.94,0.99,6
"Happiness United",22.94,2.99,6
"Holocaust Highball",23.84,0.99,16
"Homeward Cider",23.84,0.99,16
"Jungle Closer",23.88,0.99,12
"Reef Salute",23.89,0.99,11
"Birdcage Casper",23.91,0.99,9
"Clyde Theory",23.92,0.99,8
"Chaplin License",23.92,2.99,8
"Cassidy Wyoming",23.94,2.99,6
"Doctor Grail",23.95,2.99,5
"Mannequin Worst",23.95,2.99,5
"Wolves Desire",24.79,0.99,21
"Deceiver Betrayed",24.80,0.99,20
"Masked Bubble",24.81,0.99,19
"Resurrection Silverado",24.81,0.99,19
"Slipper Fidelity",24.86,0.99,14
"Drums Dynamite",24.87,0.99,13
"Notorious Reunion",24.87,0.99,13
"Oleander Clue",24.91,0.99,9
"World Leathernecks",24.92,0.99,8
"Diary Panic",24.92,2.99,8
"Bed Highball",24.94,2.99,6
"Apocalypse Flamingos",24.95,4.99,5
"Traffic Hobbit",24.95,4.99,5
"Hunter Alter",24.95,2.99,5
"Train Bunch",24.96,4.99,4
"Roman Punk",25.79,0.99,21
"Borrowers Bedazzled",25.80,0.99,20
"Translation Summer",25.87,0.99,13
"Motions Details",25.87,0.99,14
"Desire Alien",25.92,2.99,8
"Pizza Jumanji",25.94,2.99,6
"Bunch Minds",25.95,2.99,5
"Empire Malkovich",26.81,0.99,19
"Christmas Moonshine",26.81,0.99,19
"Evolution Alter",26.88,0.99,12
"Finding Anaconda",26.90,0.99,10
"Crazy Home",26.91,2.99,9
"Dares Pluto",26.92,2.99,8
"Unfaithful Kill",26.92,2.99,8
"Pet Haunting",26.92,0.99,8
"Private Drop",26.95,4.99,5
"Grease Youth",27.80,0.99,20
"Canyon Stock",27.81,0.99,19
"Encino Elf",27.81,0.99,19
"Highball Potter",27.81,0.99,19
"Room Roman",27.82,0.99,18
"Cleopatra Devil",27.85,0.99,16
"Rear Trading",27.85,0.99,15
